rdc;token;value_de;value_en
Component.Language;wel;Kymrisch;Welsh
Component.Language;wen;Sorbisch;Sorbian language.isos
Component.Language;wln;Wallonisch;Walloon
Component.Language;wol;Wolof-Sprache;Wolof
Component.Language;xal;Kalmückisch;Kalmyk, Oirat
Component.Language;xho;Xhosa-Sprache;Xhosa
Component.Language;yao;Yao-Sprache;Yao
Component.Language;yap;Yapesisch;Yapese
Component.Language;yid;Jiddisch;Yiddish
Component.Language;yor;Yoruba-Sprache;Yoruba
Component.Language;ypk;Yupik-Sprache;Yupik language.isos
Component.Language;zap;Zapotekisch;Zapotec
Component.Language;zbl;Bliss;Blissymbols, Blissymbolics, Bliss
Component.Language;zen;Zenaga;Zenaga
Component.Language;zgh;Standard Marokkanisch Tamazight;Standard Moroccan Tamazight
Component.Language;zha;Zhuang;Zhuang, Chuang
Component.Language;znd;Zande-Sprachen;Zande language.isos
Component.Language;zul;Zulu-Sprache;Zulu
Component.Language;zun;Zuñi-Sprache;Zuni
Component.Language;zxx;Non-linguistisch;No linguistic content, Not applicable
Component.Language;zza;Zazaki;Zaza, Dimili, Dimli, Kirdki, Kirmanjki, Zazaki
